keyword,date,page,position,title,author,publisher,pages,publication_date,sales_rank,image,asin,,,,,,,
drug history,00:23.1,6,54,"The Black Hand: The Story of Rene Boxer"" Enriquez and His Life in the Mexican Mafia""",Chris Blatchford,HarperCollins e-books,356,00:00.0,11716,https://images-na.ssl-images-amazon.com/images/I/51L8CM4MYSL._SL75_.jpg,B001FA0TGO,,,,,,,
drug history,00:23.1,6,58,Fallen: A Novel (Will Trent series Book 5),Karin Slaughter,Delacorte Press,482,00:00.0,33632,https://images-na.ssl-images-amazon.com/images/I/513teOtgjEL._SL75_.jpg,B004J4WN12,,,,,,,
drug history,00:24.2,7,62,Shooting Up: A Short History of Drugs and War,Lukasz Kamienski,Oxford University Press,411,00:00.0,650136,https://images-na.ssl-images-amazon.com/images/I/519hatNWTiL._SL75_.jpg,B01B1EYC70,,,,,,,
drug history,00:24.2,7,66,That Way Again,Carolyn Brown,Montlake Romance,195,00:00.0,4943,https://images-na.ssl-images-amazon.com/images/I/41S-wTIe1TL._SL75_.jpg,B00DTTW7BY,,,,,,,
drug history,00:24.2,7,70,"Rock with Wings: A Leaphorn, Chee & Manuelito Novel",Anne Hillerman,Harper,334,00:00.0,27897,https://images-na.ssl-images-amazon.com/images/I/51ElgeK7ieL._SL75_.jpg,B00MMET87S,,,,,,,
drug history,00:25.4,8,74,Deadly Undertow (Lantern Beach Mysteries Book 6),Christy Barritt,River Heights,292,00:00.0,7404,https://images-na.ssl-images-amazon.com/images/I/51H73oR5FmL._SL75_.jpg,B07DV3M1MP,,,,,,,
drug history,00:25.4,8,78,It's So Easy: and other lies,Duff McKagan,Touchstone,386,00:00.0,59891,https://images-na.ssl-images-amazon.com/images/I/51j6-B8MuZL._SL75_.jpg,B004T4KX82,,,,,,,
drug history,00:26.4,9,82,Cannabis Pharmacy: The Practical Guide to Medical Marijuana,Michael Backes,Black Dog & Leventhal,273,00:00.0,55662,https://images-na.ssl-images-amazon.com/images/I/51XZlTzn1vL._SL75_.jpg,B00DWK542O,,,,,,,
drug history,00:26.4,9,86,"And the Band Played On: Politics, People, and the AIDS Epidemic, 20th-Anniversary Edition",Randy Shilts,St. Martin's Griffin,660,00:00.0,37395,https://images-na.ssl-images-amazon.com/images/I/51hlPYtHWbL._SL75_.jpg,B000V761ZA,,,,,,,
drug history,00:26.4,9,90,Deadfall (An Alexandra Cooper Novel Book 19),Linda Fairstein,Dutton,397,00:00.0,29519,https://images-na.ssl-images-amazon.com/images/I/51hdYE97j5L._SL75_.jpg,B01M8PRBP1,,,,,,,
drug history,00:27.5,10,94,The House at Saltwater Point (A Lavender Tides Novel Book 2),Colleen Coble,Thomas Nelson,351,00:00.0,37336,https://images-na.ssl-images-amazon.com/images/I/515n8pH97wL._SL75_.jpg,B077CS7R3K,,,,,,,
drug history,00:27.5,10,98,El Narco: Inside Mexico's Criminal Insurgency,Ioan Grillo,Bloomsbury Press,353,00:00.0,28701,https://images-na.ssl-images-amazon.com/images/I/513BIDp2DmL._SL75_.jpg,B005TIM8BW,,,,,,,
